ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,78.03,40.66,1.919,58.86,1331,1338,2467.0,241.01
2,85.61,47.11,1.817,55.04,1464,1407,3114.0,236.93
3,72.17,35.13,2.054,124.91,931,1415,1955.0,209.83
4,80.06,41.94,1.909,48.39,1356,1433,2654.0,205.97
5,81.82,39.96,2.047,123.52,1803,1446,2643.0,234.35
6,76.94,40.3,1.909,-171.61,1193,1443,2413.0,274.08
7,78.8,40.42,1.949,165.34,969,1453,2464.0,233.42
8,69.63,34.37,2.026,139.28,1047,1489,1833.0,215.45
9,77.16,40.27,1.916,86.83,921,1547,2239.0,246.97
10,79.56,41.88,1.9,-159.76,1053,1587,2552.0,245.21
11,75.64,37.16,2.036,155.36,1262,1593,2149.0,206.89
12,82.76,36.73,2.253,-151.32,1553,1604,2096.0,311.67
13,85.35,44.24,1.929,115.5,1131,1625,2948.0,302.05
14,74.54,33.98,2.194,69.24,1337,1658,1818.0,236.59
15,68.79,30.2,2.278,143.22,1256,1652,1639.0,215.31
16,85.34,35.9,2.377,66.28,973,1697,2183.0,247.04
17,75.8,42.0,1.805,129.82,777,1756,2476.0,291.91
18,75.48,39.25,1.923,112.91,1204,1785,2135.0,252.07
19,78.29,40.37,1.939,178.3,1441,1778,2474.0,235.14
20,86.69,44.08,1.966,112.71,1049,1805,2952.0,343.36
21,90.47,45.92,1.97,113.39,835,1811,3234.0,318.91
22,76.52,40.24,1.902,-163.57,1356,1791,2426.0,209.82
23,79.21,44.69,1.773,139.7,920,1847,2751.0,266.77
24,76.48,37.89,2.018,-142.06,1250,1854,2243.0,225.69
25,72.57,38.58,1.881,166.4,1153,1857,2203.0,198.92
26,80.01,43.15,1.854,98.99,783,1890,2660.0,279.69
27,73.45,39.6,1.855,112.56,546,1905,2178.0,228.31
28,78.41,42.25,1.856,96.06,1226,1925,2586.0,259.45
29,80.65,39.04,2.066,134.35,1460,1925,2470.0,249.15
30,76.44,40.45,1.89,-149.78,1144,1925,2448.0,204.89
31,87.71,43.39,2.021,45.72,1479,1998,3004.0,245.25
32,84.78,44.92,1.887,71.08,1194,2015,2893.0,246.72
33,78.33,40.87,1.917,-138.22,1285,2023,2470.0,274.05
34,85.96,43.57,1.973,124.3,730,2044,2813.0,336.98
35,88.56,42.67,2.075,97.23,1115,2065,2905.0,304.97
36,74.95,42.44,1.766,135.36,633,2084,2473.0,241.52
37,88.38,44.25,1.997,59.85,1037,2100,2914.0,275.46
38,80.43,41.33,1.946,-148.99,1460,2102,2513.0,257.31
39,81.17,42.16,1.925,178.96,1300,2209,2796.0,231.48
40,85.78,43.23,1.984,143.4,837,2244,2912.0,229.45
41,73.53,41.02,1.793,-135.13,1262,2270,2349.0,269.36
42,81.06,42.58,1.904,61.88,769,2758,2692.0,256.79
